dataset,filename,emotion,audio_path,mel_spec_path
emodb,03a04Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03a04Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03a04Nc.npy
emodb,03a04Ta.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\03a04Ta.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\03a04Ta.npy
emodb,03a04Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03a04Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03a04Wc.npy
emodb,03a05Aa.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\03a05Aa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\03a05Aa.npy
emodb,03a05Fc.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\03a05Fc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\03a05Fc.npy
emodb,03a05Nd.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03a05Nd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03a05Nd.npy
emodb,03a05Tc.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\03a05Tc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\03a05Tc.npy
emodb,03a05Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03a05Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03a05Wa.npy
emodb,03a05Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03a05Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03a05Wb.npy
emodb,03a07Fa.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\03a07Fa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\03a07Fa.npy
emodb,03a07Fb.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\03a07Fb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\03a07Fb.npy
emodb,03a07Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03a07Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03a07Nc.npy
emodb,03a07Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03a07Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03a07Wc.npy
emodb,03b01Fa.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\03b01Fa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\03b01Fa.npy
emodb,03b01Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03b01Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03b01Nb.npy
emodb,03b01Td.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\03b01Td.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\03b01Td.npy
emodb,03b01Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03b01Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03b01Wa.npy
emodb,03b01Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03b01Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03b01Wc.npy
emodb,03b02Aa.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\03b02Aa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\03b02Aa.npy
emodb,03b02Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03b02Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03b02Na.npy
emodb,03b02Tb.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\03b02Tb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\03b02Tb.npy
emodb,03b02Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03b02Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03b02Wb.npy
emodb,03b03Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03b03Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03b03Nb.npy
emodb,03b03Tc.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\03b03Tc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\03b03Tc.npy
emodb,03b03Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03b03Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03b03Wc.npy
emodb,03b09Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03b09Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03b09Nc.npy
emodb,03b09Tc.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\03b09Tc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\03b09Tc.npy
emodb,03b09Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03b09Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03b09Wa.npy
emodb,03b10Ab.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\03b10Ab.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\03b10Ab.npy
emodb,03b10Ec.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\03b10Ec.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\03b10Ec.npy
emodb,03b10Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03b10Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03b10Na.npy
emodb,03b10Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03b10Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03b10Nc.npy
emodb,03b10Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03b10Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03b10Wb.npy
emodb,03b10Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03b10Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03b10Wc.npy
emodb,08a01Ab.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\08a01Ab.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\08a01Ab.npy
emodb,08a01Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08a01Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08a01Fd.npy
emodb,08a01Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08a01Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08a01Na.npy
emodb,08a01Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08a01Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08a01Wa.npy
emodb,08a01Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08a01Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08a01Wc.npy
emodb,08a02Ab.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\08a02Ab.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\08a02Ab.npy
emodb,08a02Ac.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\08a02Ac.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\08a02Ac.npy
emodb,08a02Fe.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08a02Fe.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08a02Fe.npy
emodb,08a02Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08a02Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08a02Na.npy
emodb,08a02Tb.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08a02Tb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08a02Tb.npy
emodb,08a02Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08a02Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08a02Wc.npy
emodb,08a04Ff.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08a04Ff.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08a04Ff.npy
emodb,08a04Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08a04Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08a04Nc.npy
emodb,08a04Tb.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08a04Tb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08a04Tb.npy
emodb,08a04Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08a04Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08a04Wc.npy
emodb,08a05Fe.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08a05Fe.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08a05Fe.npy
emodb,08a05Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08a05Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08a05Nb.npy
emodb,08a05Ta.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08a05Ta.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08a05Ta.npy
emodb,08a05Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08a05Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08a05Wa.npy
emodb,08a07Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08a07Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08a07Fd.npy
emodb,08a07Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08a07Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08a07Na.npy
emodb,08a07Ta.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08a07Ta.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08a07Ta.npy
emodb,08a07Tb.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08a07Tb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08a07Tb.npy
emodb,08a07Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08a07Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08a07Wc.npy
emodb,08b01Aa.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\08b01Aa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\08b01Aa.npy
emodb,08b01Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08b01Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08b01Fd.npy
emodb,08b01Fe.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08b01Fe.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08b01Fe.npy
emodb,08b01Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08b01Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08b01Na.npy
emodb,08b01Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08b01Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08b01Wa.npy
emodb,08b02Ff.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08b02Ff.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08b02Ff.npy
emodb,08b02Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08b02Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08b02Nb.npy
emodb,08b02Tc.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08b02Tc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08b02Tc.npy
emodb,08b02Wd.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08b02Wd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08b02Wd.npy
emodb,08b03Fe.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08b03Fe.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08b03Fe.npy
emodb,08b03Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08b03Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08b03Nb.npy
emodb,08b03Tc.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08b03Tc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08b03Tc.npy
emodb,08b03Wd.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08b03Wd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08b03Wd.npy
emodb,08b09Ab.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\08b09Ab.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\08b09Ab.npy
emodb,08b09Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08b09Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08b09Fd.npy
emodb,08b09Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08b09Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08b09Nb.npy
emodb,08b09Tb.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08b09Tb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08b09Tb.npy
emodb,08b09Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08b09Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08b09Wa.npy
emodb,08b09Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08b09Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08b09Wc.npy
emodb,08b10Aa.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\08b10Aa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\08b10Aa.npy
emodb,08b10Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\08b10Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\08b10Fd.npy
emodb,08b10Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\08b10Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\08b10Nc.npy
emodb,08b10Tc.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\08b10Tc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\08b10Tc.npy
emodb,08b10Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\08b10Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\08b10Wa.npy
emodb,09a01Ea.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09a01Ea.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09a01Ea.npy
emodb,09a01Fa.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\09a01Fa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\09a01Fa.npy
emodb,09a01Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09a01Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09a01Nb.npy
emodb,09a01Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09a01Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09a01Wb.npy
emodb,09a02Ea.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09a02Ea.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09a02Ea.npy
emodb,09a02Eb.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09a02Eb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09a02Eb.npy
emodb,09a02Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09a02Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09a02Wb.npy
emodb,09a04Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\09a04Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\09a04Fd.npy
emodb,09a04Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09a04Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09a04Nb.npy
emodb,09a04Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09a04Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09a04Wa.npy
emodb,09a05Ed.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09a05Ed.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09a05Ed.npy
emodb,09a05Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09a05Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09a05Nb.npy
emodb,09a05Tb.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\09a05Tb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\09a05Tb.npy
emodb,09a05Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09a05Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09a05Wb.npy
emodb,09a05Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09a05Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09a05Wc.npy
emodb,09a07Eb.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09a07Eb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09a07Eb.npy
emodb,09a07Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09a07Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09a07Na.npy
emodb,09a07Ta.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\09a07Ta.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\09a07Ta.npy
emodb,09a07Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09a07Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09a07Wb.npy
emodb,09a07Wd.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09a07Wd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09a07Wd.npy
emodb,09b01Ea.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09b01Ea.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09b01Ea.npy
emodb,09b01Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09b01Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09b01Na.npy
emodb,09b01Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09b01Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09b01Wb.npy
emodb,09b02Na.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09b02Na.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09b02Na.npy
emodb,09b02Tb.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\09b02Tb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\09b02Tb.npy
emodb,09b02Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09b02Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09b02Wc.npy
emodb,09b02Wd.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09b02Wd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09b02Wd.npy
emodb,09b03Ed.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09b03Ed.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09b03Ed.npy
emodb,09b03Fa.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\09b03Fa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\09b03Fa.npy
emodb,09b03Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\09b03Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\09b03Fd.npy
emodb,09b03Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09b03Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09b03Nb.npy
emodb,09b03Ta.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\09b03Ta.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\09b03Ta.npy
emodb,09b03Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09b03Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09b03Wb.npy
emodb,09b09Ea.wav,disgust,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\disgust\09b09Ea.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\disgust\09b09Ea.npy
emodb,09b09Nd.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09b09Nd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09b09Nd.npy
emodb,09b09Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09b09Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09b09Wa.npy
emodb,09b10Aa.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\09b10Aa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\09b10Aa.npy
emodb,09b10Nd.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\09b10Nd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\09b10Nd.npy
emodb,09b10Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\09b10Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\09b10Wa.npy
emodb,10a01Ac.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\10a01Ac.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\10a01Ac.npy
emodb,10a01Nb.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\10a01Nb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\10a01Nb.npy
